,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
741,7.4,0.0,0.0,0.0,0.0,0.022135823273841063,-0.17849137197150192,0.564185560246435,-0.02382567875403801,-1.6670202933354301,-1.6832052657993484,-0.016184972463918257,-0.20062719524534298
742,7.41,0.0,0.0,0.0,0.0,0.02775115465286504,-0.17860936224275692,0.5588049473925556,0.0003599693813382127,-1.6667708136131831,-1.6849909709938922,-0.018220157380709034,-0.20636051689562196
743,7.42,0.0,0.0,0.0,0.0,0.033310421755596516,-0.1784815838064919,0.5529742382246142,0.025322119888679887,-1.6664654571480888,-1.6867766337173637,-0.020311176569274943,-0.2117920055620884
744,7.43,0.0,0.0,0.0,0.0,0.03880917050214445,-0.17810045259964527,0.5467028968309342,0.05102431742129846,-1.6661048069321671,-1.688559758058615,-0.022454951126447797,-0.2169096231017897
745,7.44,0.0,0.0,0.0,0.0,0.04424304405269902,-0.17745875693316152,0.5400009046689014,0.07742855037045028,-1.6656894900163477,-1.6903377741147696,-0.024648284098421902,-0.22170180098586054
746,7.45,0.0,0.0,0.0,0.0,0.049607787904902875,-0.17654967281209102,0.5328787450823979,0.10449530008160382,-1.6652201765124526,-1.6921080417919745,-0.026887865279521916,-0.22615746071699389
747,7.46,0.0,0.0,0.0,0.0,0.05489925482984103,-0.17536677874205767,0.5253473865087273,0.13218359437389834,-1.6646975785450022,-1.6938678547568196,-0.02917027621181734,-0.2302660335718987
748,7.47,0.0,0.0,0.0,0.0,0.06011340963360394,-0.17390406997884525,0.5174182643910538,0.16045106539998472,-1.6641224491545221,-1.6956144445330725,-0.03149199537855041,-0.23401747961244918
749,7.48,0.0,0.0,0.0,0.0,0.0652463337316223,-0.17215597217767722,0.5091032618257757,0.1892540118435418,-1.6634955811541605,-1.6973449847379458,-0.0338494035837853,-0.2374023059092995
750,7.49,0.0,0.0,0.0,0.0,0.07029422952332107,-0.1701173543990014,0.5004146889878611,0.21854746540999687,-1.66281780594155,-1.6990565954516732,-0.03623878951012327,-0.24041158392232248
751,7.5,0.0,0.0,0.0,0.0,0.07525342455515185,-0.16778354142824545,0.49136526139084075,0.2482852615231818,-1.6620899922679706,-1.7007463477137512,-0.03865635544578061,-0.2430369659833973
752,7.51,0.0,0.0,0.0,0.0,0.08012037546068078,-0.16515032536810403,0.4819680770516302,0.2784201140972527,-1.6613130449669902,-1.7024112681387717,-0.04109822317178158,-0.24527070082878483
753,7.5200000000000005,0.0,0.0,0.0,0.0,0.08489167166719264,-0.16221397646343516,0.4722365926433412,0.3089036942103008,-1.6604879036448599,-1.7040483436443763,-0.04356043999951642,-0.2471056481306278
754,7.53,0.0,0.0,0.0,0.0,0.08956403885915402,-0.1589712531207959,0.4621845987317081,0.33968671246366416,-1.6596155413350548,-1.70565452628346,-0.04603898494840509,-0.24853529197994995
755,7.54,0.0,0.0,0.0,0.0,0.09413434218990463,-0.15541941108700555,0.4518261942021935,0.37071900477064135,-1.65869696311943,-1.7072267381723973,-0.04852977505296741,-0.24955375327691018
756,7.55,0.0,0.0,0.0,0.0,0.09859958923405462,-0.15155621175389042,0.4411757599953556,0.4019496212797722,-1.6577332047185505,-1.7087618765067094,-0.05102867178815895,-0.25015580098794504
757,7.5600000000000005,0.0,0.0,0.0,0.0,0.10295693267430396,-0.14737992955948284,0.43024793227717273,0.43332691810262935,-1.656725331053822,-1.7102568186552833,-0.053531487601461425,-0.2503368622337868
758,7.57,0.0,0.0,0.0,0.0,0.10720367271769468,-0.1428893584594178,0.419057575178743,0.46479865148412197,-1.6556744347841004,-1.7117084273239767,-0.056033992539876294,-0.25009303117711246
759,7.58,0.0,0.0,0.0,0.0,0.11133725923769432,-0.13808381744602388,0.407619753245874,0.4963120740255139,-1.6545816348195095,-1.7131135557791906,-0.05853192095968108,-0.2494210766837182
760,7.59,0.0,0.0,0.0,0.0,0.11535529363992283,-0.13296315509663695,0.39594970374339555,0.5278140325471048,-1.6534480748152167,-1.7144690531217937,-0.061020978306576934,-0.24831844873655978
